id_person,dob,city,state,country,region,group,lat,long
267434,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
267583,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
267698,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
267995,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
268358,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
268523,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
269580,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
271691,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
289520,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
289572,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
290232,1996,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
256341,1997,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
256425,1997,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
257599,1997,Bani,Peravia,DO,Caribbean,Latin America and the Caribbean,18.27772,-70.332075
