id_person,season,classifica,category,league_name,team_name,team_id
31735,2016,MLB,MLB,American,CWS,2016_American_CWS
31735,2016,MLB,MLB,American,CWS,2016_American_CWS
31936,2016,MLB,MLB,American,DET,2016_American_DET
31936,2016,MLB,MLB,American,DET,2016_American_DET
31999,2016,MLB,MLB,American,SEA,2016_American_SEA
31999,2016,MLB,MLB,American,TOR,2016_American_TOR
31999,2016,MLB,MLB,American,SEA,2016_American_SEA
31999,2016,MLB,MLB,American,TOR,2016_American_TOR
32008,2016,MLB,MLB,National,STL,2016_National_STL
32008,2016,MLB,MLB,National,STL,2016_National_STL
32111,2016,MLB,MLB,National,WSH,2016_National_WSH
32111,2016,MLB,MLB,National,WSH,2016_National_WSH
32590,2016,MLB,MLB,National,SD,2016_National_SD
32590,2016,MLB,MLB,National,SD,2016_National_SD
33251,2016,MLB,MLB,American,TB,2016_American_TB
33251,2016,MLB,MLB,American,TB,2016_American_TB
33360,2016,MLB,MLB,National,PHI,2016_National_PHI
33360,2016,MLB,MLB,National,PHI,2016_National_PHI
33492,2016,MLB,MLB,American,CLE,2016_American_CLE
33492,2016,MLB,MLB,American,CLE,2016_American_CLE
34081,2016,MLB,MLB,American,CLE,2016_American_CLE
34081,2016,MLB,MLB,American,CLE,2016_American_CLE
34245,2016,MLB,MLB,National,ARI,2016_National_ARI
34717,2016,MLB,MLB,American,NYY,2016_American_NYY
34717,2016,MLB,MLB,American,SEA,2016_American_SEA
34717,2016,MLB,MLB,American,NYY,2016_American_NYY
34717,2016,MLB,MLB,American,SEA,2016_American_SEA
34743,2016,MLB,MLB,National,CHC,2016_National_CHC
34743,2016,MLB,MLB,National,CHC,2016_National_CHC
35034,2016,MLB,MLB,National,NYM,2016_National_NYM
35034,2016,MLB,MLB,National,NYM,2016_National_NYM
35105,2016,MLB,MLB,National,LAD,2016_National_LAD
35105,2016,MLB,MLB,National,LAD,2016_National_LAD
35111,2016,MLB,MLB,American,KC,2016_American_KC
35111,2016,MLB,MLB,American,OAK,2016_American_OAK
35111,2016,MLB,MLB,American,KC,2016_American_KC
35111,2016,MLB,MLB,American,OAK,2016_American_OAK
35267,2016,MLB,MLB,American,CWS,2016_American_CWS
35267,2016,MLB,MLB,American,CWS,2016_American_CWS
35582,2016,MLB,MLB,American,TB,2016_American_TB
35582,2016,MLB,MLB,American,TB,2016_American_TB
35593,2016,MLB,MLB,National,MIA,2016_National_MIA
35593,2016,MLB,MLB,National,MIA,2016_National_MIA
35684,2016,MLB,MLB,American,TOR,2016_American_TOR
35684,2016,MLB,MLB,American,TOR,2016_American_TOR
35966,2016,MLB,MLB,National,MIL,2016_National_MIL
35966,2016,MLB,MLB,National,SF,2016_National_SF
35966,2016,MLB,MLB,National,MIL,2016_National_MIL
35966,2016,MLB,MLB,National,SF,2016_National_SF
36032,2016,MLB,MLB,American,LAA,2016_American_LAA
36032,2016,MLB,MLB,American,LAA,2016_American_LAA
36452,2016,MLB,MLB,National,MIL,2016_National_MIL
36452,2016,MLB,MLB,National,MIL,2016_National_MIL
36502,2016,MLB,MLB,American,CWS,2016_American_CWS
36502,2016,MLB,MLB,American,CWS,2016_American_CWS
36732,2016,MLB,MLB,American,BOS,2016_American_BOS
36732,2016,MLB,MLB,National,MIL,2016_National_MIL
36732,2016,MLB,MLB,National,MIL,2016_National_MIL
36995,2016,MLB,MLB,National,SF,2016_National_SF
36995,2016,MLB,MLB,National,STL,2016_National_STL
36995,2016,MLB,MLB,National,SF,2016_National_SF
36995,2016,MLB,MLB,National,STL,2016_National_STL
37054,2016,MLB,MLB,National,LAD,2016_National_LAD
37054,2016,MLB,MLB,National,LAD,2016_National_LAD
37084,2016,MLB,MLB,American,BAL,2016_American_BAL
37269,2016,MLB,MLB,National,WSH,2016_National_WSH
37269,2016,MLB,MLB,National,WSH,2016_National_WSH
37345,2016,MLB,MLB,National,SD,2016_National_SD
37345,2016,MLB,MLB,National,SD,2016_National_SD
